disease_code,disease_name,region,year,case_count,source
COVID_001,COVID-19,Democratic Republic of Congo,2024,0,OWID
COVID_001,COVID-19,Denmark,2020,0,OWID
COVID_001,COVID-19,Denmark,2021,0,OWID
COVID_001,COVID-19,Denmark,2022,0,OWID
COVID_001,COVID-19,Denmark,2023,7754,OWID
COVID_001,COVID-19,Denmark,2024,0,OWID
COVID_001,COVID-19,Djibouti,2020,0,OWID
COVID_001,COVID-19,Djibouti,2021,0,OWID
COVID_001,COVID-19,Djibouti,2022,0,OWID
COVID_001,COVID-19,Djibouti,2023,0,OWID
COVID_001,COVID-19,Djibouti,2024,0,OWID
COVID_001,COVID-19,Dominica,2020,0,OWID
COVID_001,COVID-19,Dominica,2021,0,OWID
COVID_001,COVID-19,Dominica,2022,0,OWID
COVID_001,COVID-19,Dominica,2023,0,OWID
COVID_001,COVID-19,Dominica,2024,0,OWID
COVID_001,COVID-19,Dominican Republic,2020,0,OWID
COVID_001,COVID-19,Dominican Republic,2021,0,OWID
COVID_001,COVID-19,Dominican Republic,2022,0,OWID
COVID_001,COVID-19,Dominican Republic,2023,589,OWID
COVID_001,COVID-19,Dominican Republic,2024,0,OWID
COVID_001,COVID-19,East Timor,2020,0,OWID
COVID_001,COVID-19,East Timor,2021,0,OWID
COVID_001,COVID-19,East Timor,2022,0,OWID
COVID_001,COVID-19,East Timor,2023,9,OWID
COVID_001,COVID-19,East Timor,2024,0,OWID
COVID_001,COVID-19,Ecuador,2020,0,OWID
COVID_001,COVID-19,Ecuador,2021,0,OWID
COVID_001,COVID-19,Ecuador,2022,0,OWID
COVID_001,COVID-19,Ecuador,2023,4286,OWID
COVID_001,COVID-19,Ecuador,2024,0,OWID
COVID_001,COVID-19,Egypt,2020,0,OWID
